,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Joined,Contract Valid Until,Height,Weight,Release Clause,Kit Number,Age Groups
15,212616,R. De Paul,28,Argentina,84,84,Atlético de Madrid,42000000,85000,2240,Right,1,3,4,High/ Medium,Normal (170-185),Substitute,2021-07-12,2026,180cm,70kg,86100000,5.0,Adult
16,181458,I. Perišić,33,Croatia,84,84,Tottenham Hotspur,26500000,130000,2238,Right,3,5,4,High/ Medium,Lean (185+),Substitute,2022-07-01,2024,186cm,80kg,50400000,14.0,Senior
17,228702,F. de Jong,25,Netherlands,87,92,FC Barcelona,116500000,230000,2238,Right,3,3,4,High/ Medium,Unique,Right Central Midfielder,2019-07-01,2026,180cm,74kg,247600000,21.0,Adult
18,194765,A. Griezmann,31,France,83,83,Atlético de Madrid,30500000,185000,2235,Left,4,3,4,Medium/ Medium,Unique,Right Striker,2021-01-01,2023,176cm,73kg,5376265,8.0,Senior
19,193082,J. Cuadrado,34,Colombia,83,83,Juventus,13500000,120000,2234,Right,3,3,5,High/ Medium,Lean (170-185),Right Back,2017-07-01,2023,179cm,72kg,23000000,11.0,Senior
20,208574,F. Kostić,29,Serbia,85,85,Eintracht Frankfurt,53000000,56000,2234,Left,3,2,3,High/ High,Normal (170-185),Left Midfielder,2019-05-17,2023,184cm,84kg,90100000,10.0,Adult
21,231281,T. Alexander-Arnold,23,England,87,90,Liverpool,100500000,150000,2234,Right,3,4,3,High/ Medium,Unique,Right Back,2015-10-07,2025,180cm,69kg,193500000,66.0,Adult
22,176580,L. Suárez,35,Uruguay,84,84,Club Nacional de Football,18000000,1000,2231,Right,4,4,3,High/ Medium,Unique,Left Striker,2022-07-28,2023,182cm,86kg,39600000,9.0,Senior
23,235212,A. Hakimi,23,Morocco,84,87,Paris Saint-Germain,53500000,90000,2229,Right,2,4,4,High/ Medium,Lean (170-185),Right Wing Back,2021-07-06,2026,181cm,73kg,103000000,2.0,Adult
24,216352,M. Brozović,29,Croatia,86,86,Inter,58000000,110000,2227,Right,3,4,3,Medium/ Medium,Lean (170-185),Central Defensive Midfielder,2016-07-01,2026,181cm,68kg,95700000,77.0,Adult
25,209331,M. Salah,30,Egypt,90,90,Liverpool,115500000,270000,2226,Left,4,3,4,High/ Medium,Unique,Right Winger,2017-07-01,2023,175cm,71kg,213700000,11.0,Adult
26,241096,S. Tonali,22,Italy,84,90,AC Milan,62500000,75000,2225,Right,1,4,3,Medium/ High,Unique,Right Central Midfielder,2021-07-08,2026,181cm,79kg,118800000,8.0,Young
27,189509,Thiago,31,Spain,86,86,Liverpool,55500000,180000,2225,Right,3,3,5,Medium/ Medium,Normal (170-185),Left Central Midfielder,2020-09-18,2024,174cm,70kg,102700000,6.0,Senior
28,238074,R. James,22,England,84,88,Chelsea,57000000,120000,2225,Right,2,3,3,High/ Medium,Stocky (170-185),Right Wing Back,2017-03-03,2025,178cm,87kg,109700000,24.0,Young
29,189332,Jordi Alba,33,Spain,85,85,FC Barcelona,28000000,190000,2218,Left,3,3,3,High/ Medium,Unique,Left Back,2012-07-01,2024,170cm,68kg,57400000,18.0,Senior
30,213565,T. Lemar,26,France,83,86,Atlético de Madrid,47000000,74000,2215,Left,3,3,4,High/ High,Lean (170-185),Substitute,2018-07-01,2023,171cm,63kg,99900000,11.0,Adult
31,230767,Renato Sanches,24,Portugal,80,86,Paris Saint-Germain,33000000,72000,2215,Right,3,4,4,High/ High,Normal (170-185),Substitute,2022-08-04,2027,176cm,70kg,67700000,11.0,Adult
32,190286,Canales,31,Spain,84,84,Real Betis Balompié,35000000,42000,2213,Left,2,3,4,High/ Medium,Lean (170-185),Right Midfielder,2018-07-03,2026,176cm,65kg,73500000,10.0,Senior
33,226754,I. Bennacer,24,Algeria,82,86,AC Milan,40000000,63000,2213,Left,2,3,4,High/ Medium,Lean (170-185),Left Central Midfielder,2019-08-04,2024,175cm,70kg,71000000,4.0,Adult
34,212462,Alex Telles,29,Brazil,80,80,Sevilla FC,18500000,110000,2213,Left,3,2,3,High/ Low,Unique,Substitute,2021-01-01,2023,181cm,71kg,5376265,3.0,Adult
35,231969,R. Malinovskyi,29,Ukraine,82,82,Atalanta,30500000,73000,2213,Left,3,4,4,Medium/ Medium,Stocky (170-185),Left Forward,2019-07-16,2023,181cm,79kg,51900000,18.0,Adult
36,238744,W. McKennie,23,United States,80,85,Juventus,31500000,90000,2212,Right,2,3,3,High/ High,Normal (170-185),Left Central Midfielder,2021-07-01,2025,183cm,84kg,55900000,14.0,Adult
37,200145,Casemiro,30,Brazil,89,89,Real Madrid CF,86000000,300000,2209,Right,3,3,2,Medium/ High,Unique,Central Defensive Midfielder,2013-07-11,2025,185cm,84kg,176300000,14.0,Adult
38,220651,Angeliño,25,Spain,83,85,TSG Hoffenheim,42000000,64000,2209,Left,2,3,4,High/ High,Normal (170-185),Left Wing Back,2021-01-01,2023,171cm,69kg,5376265,11.0,Adult
39,230938,F. Kessié,25,Côte d'Ivoire,84,86,FC Barcelona,47500000,165000,2206,Right,3,4,3,High/ High,Normal (170-185),Substitute,2022-07-04,2026,183cm,88kg,100900000,19.0,Adult
40,200458,L. Digne,28,France,82,82,Aston Villa,27500000,100000,2206,Left,2,2,3,High/ Medium,Unique,Left Back,2022-01-13,2026,178cm,74kg,52300000,27.0,Adult
41,188545,R. Lewandowski,33,Poland,91,91,FC Barcelona,84000000,420000,2205,Right,5,4,4,High/ Medium,Unique,Striker,2022-07-18,2025,185cm,81kg,172200000,9.0,Senior
42,181872,22 A. Vidal,34,Chile,81,81,Inter,12000000,105000,2199,Right,4,4,3,High/ High,Unique,Substitute,2020-09-22,2023,180cm,75kg,20400000,22.0,Senior
43,240699,N. De la Cruz,25,Uruguay,78,79,River Plate,16500000,19000,2197,Right,1,4,4,High/ High,Normal (170-),Right Midfielder,2017-08-15,2023,167cm,65kg,24300000,11.0,Adult
44,232411,C. Nkunku,24,France,86,89,RB Leipzig,94000000,90000,2196,Right,3,3,5,High/ Medium,Normal (170-185),Substitute,2021-01-01,2023,175cm,73kg,166900000,12.0,Adult
45,188377,K. Walker,32,England,85,85,Manchester City,37500000,170000,2196,Right,3,2,3,High/ High,Unique,Right Back,2017-07-14,2024,183cm,83kg,69400000,2.0,Senior
46,232656,T. Hernández,24,France,85,90,AC Milan,76000000,82000,2195,Left,3,3,3,High/ Medium,Unique,Left Back,2019-07-05,2026,184cm,81kg,134900000,19.0,Adult
47,186942,İ. Gündoğan,31,Germany,85,85,Manchester City,44000000,185000,2195,Right,3,4,4,High/ Medium,Normal (170-185),Substitute,2016-07-01,2023,180cm,80kg,81400000,8.0,Senior
48,214097,B. Bourigeaud,28,France,81,81,Stade Rennais FC,26000000,66000,2194,Right,2,3,3,High/ High,Lean (170-185),Right Winger,2017-06-14,2023,178cm,68kg,49400000,14.0,Adult
49,223697,R. Gosens,27,Germany,82,82,Inter,29500000,59000,2193,Left,3,3,3,High/ Medium,Normal (170-185),Left Midfielder,2021-01-01,2023,183cm,76kg,5376265,8.0,Adult
50,181291,G. Wijnaldum,31,Netherlands,80,80,Roma,17500000,83000,2193,Right,3,4,3,High/ High,Unique,Left Central Midfielder,2021-01-01,2023,175cm,74kg,5376265,25.0,Senior
51,219683,C. Tolisso,27,France,81,81,Olympique Lyonnais,27500000,75000,2193,Right,3,3,3,High/ Medium,Normal (170-185),Right Central Midfielder,2022-07-01,2027,181cm,81kg,52300000,88.0,Adult
52,202126,H. Kane,28,England,89,89,Tottenham Hotspur,105500000,240000,2193,Right,4,5,3,High/ High,Unique,Striker,2010-07-28,2024,188cm,89kg,200500000,10.0,Adult
53,193747,Koke,30,Spain,83,83,Atlético de Madrid,34500000,74000,2192,Right,3,4,3,Medium/ Medium,Normal (170-185),Left Central Midfielder,2011-01-01,2024,176cm,77kg,70700000,6.0,Adult
54,195479,J. Tavernier,30,England,78,78,Rangers FC,12000000,51000,2191,Right,1,3,3,High/ Medium,Lean (185+),Right Back,2015-07-20,2024,182cm,75kg,21600000,2.0,Adult
55,183711,J. Henderson,32,England,83,83,Liverpool,28500000,135000,2190,Right,3,3,3,High/ High,Normal (170-185),Right Central Midfielder,2011-06-09,2025,182cm,80kg,52700000,14.0,Senior
56,158023,L. Messi,35,Argentina,91,91,Paris Saint-Germain,54000000,195000,2190,Left,5,4,4,Low/ Low,Unique,Right Winger,2021-08-10,2023,169cm,67kg,99900000,30.0,Senior
57,199556,M. Verratti,29,Italy,87,87,Paris Saint-Germain,77500000,155000,2189,Right,3,4,4,Medium/ High,Unique,Right Central Midfielder,2012-07-18,2024,165cm,60kg,143400000,6.0,Adult
58,214047,M. Uribe,31,Colombia,81,81,FC Porto,21000000,19000,2189,Right,1,4,3,Medium/ High,Normal (170-185),Right Central Midfielder,2019-08-05,2023,183cm,77kg,42000000,8.0,Senior
59,239053,F. Valverde,23,Uruguay,84,90,Real Madrid CF,66000000,175000,2188,Right,1,4,3,High/ High,Unique,Substitute,2016-07-22,2027,182cm,78kg,148500000,15.0,Adult
60,208722,S. Mané,30,Senegal,89,89,FC Bayern München,99500000,145000,2188,Right,4,4,4,High/ Medium,Unique,Striker,2022-07-01,2025,174cm,69kg,164200000,17.0,Adult
61,205632,L. Ocampos,27,Argentina,81,81,Sevilla FC,27500000,39000,2188,Right,2,3,4,High/ High,Normal (185+),Substitute,2019-07-03,2024,188cm,84kg,57800000,5.0,Adult
62,233927,Lucas Paquetá,24,Brazil,82,87,Olympique Lyonnais,46000000,70000,2188,Left,2,4,5,High/ High,Normal (170-185),Left Central Midfielder,2020-10-01,2025,180cm,72kg,90900000,10.0,Adult
63,202648,Sergi Darder,28,Spain,82,82,RCD Espanyol de Barcelona,30500000,30000,2188,Right,1,3,3,Medium/ Medium,Lean (170-185),Central Attacking Midfielder,2018-07-10,2023,180cm,71kg,64100000,10.0,Adult
64,216393,Y. Tielemans,25,Belgium,84,86,Leicester City,52500000,115000,2187,Right,2,5,4,Medium/ Medium,Normal (170-185),Right Defensive Midfielder,2019-07-08,2023,176cm,72kg,103700000,8.0,Adult
65,209297,Fred,29,Brazil,80,80,Manchester United,20500000,120000,2186,Left,3,3,4,High/ High,Lean (170-),Central Defensive Midfielder,2018-06-21,2023,169cm,62kg,39000000,17.0,Adult
66,218667,Bernardo Silva,27,Portugal,88,88,Manchester City,97500000,260000,2185,Left,2,3,4,High/ High,Lean (170-185),Left Central Midfielder,2017-07-01,2025,173cm,64kg,180400000,20.0,Adult
67,210035,Grimaldo,26,Spain,82,85,SL Benfica,36500000,19000,2184,Left,3,2,3,High/ Medium,Lean (170-185),Left Back,2016-01-04,2023,172cm,67kg,75700000,3.0,Adult
68,234153,Carlos Soler,25,Spain,83,88,Valencia CF,53000000,51000,2183,Right,2,4,3,Medium/ Medium,Normal (170-185),Left Central Midfielder,2015-07-01,2023,180cm,76kg,115300000,10.0,Adult
69,224458,Diogo Jota,25,Portugal,85,89,Liverpool,76000000,170000,2183,Right,2,5,4,High/ High,Normal (170-185),Substitute,2020-09-19,2025,178cm,73kg,146300000,20.0,Adult
70,252371,J. Bellingham,19,England,84,91,Borussia Dortmund,81500000,41000,2182,Right,2,4,4,High/ High,Lean (185+),Left Defensive Midfielder,2020-07-23,2025,186cm,75kg,154900000,22.0,Young
71,201455,G. Kondogbia,29,Central African Republic,82,82,Atlético de Madrid,29500000,71000,2181,Left,2,3,3,Medium/ High,Lean (185+),Central Defensive Midfielder,2020-11-03,2024,188cm,80kg,60500000,4.0,Adult
72,186345,K. Trippier,31,England,84,84,Newcastle United,30500000,120000,2181,Right,2,4,3,Medium/ Medium,Normal (170-185),Right Back,2022-01-07,2024,173cm,71kg,58000000,2.0,Senior
73,173210,19 C. Marchisio,31,Italy,84,84,Juventus,19500000,130000,2179,Right,3,4,3,High/ High,Normal (170-185),Reserve,2007-06-01,2023,180cm,74kg,32200000,8.0,Senior
74,193283,T. Delaney,30,Denmark,81,81,Sevilla FC,21500000,33000,2177,Left,2,4,2,Low/ High,Normal (170-185),Substitute,2021-08-25,2025,182cm,79kg,45200000,18.0,Adult
75,231747,K. Mbappé,23,France,91,95,Paris Saint-Germain,190500000,230000,2177,Right,4,4,5,High/ Low,Unique,Striker,2018-07-01,2025,182cm,73kg,366700000,7.0,Adult
76,269765,S. Obisanya,22,Nigeria,81,88,AFC Richmond,52500000,55000,2176,Right,1,3,3,High/ High,Lean (185+),Right Midfielder,2019-07-01,2026,185cm,77kg,110300000,24.0,Young
77,183512,Yuri Berchiche,32,Spain,82,82,Athletic Club de Bilbao,21000000,35000,2176,Left,2,3,3,High/ Medium,Normal (170-185),Left Back,2018-07-02,2024,181cm,80kg,44100000,17.0,Senior
78,193165,J. Corona,29,Mexico,81,81,Sevilla FC,25500000,40000,2175,Right,3,5,5,Medium/ Medium,Normal (170-185),Right Winger,2022-01-14,2025,173cm,66kg,53600000,9.0,Adult
79,235008,L. Robertone,25,Argentina,76,80,Unión Deportiva Almería,10500000,24000,2173,Right,1,4,4,Medium/ High,Normal (170-185),Left Central Midfielder,2020-10-01,2025,175cm,70kg,23900000,5.0,Adult
80,204923,M. Sabitzer,28,Austria,80,80,FC Bayern München,21000000,67000,2172,Right,3,4,3,High/ High,Normal (170-185),Substitute,2021-08-30,2025,178cm,76kg,34700000,18.0,Adult
81,208128,H. Çalhanoğlu,28,Turkey,84,84,Inter,42000000,100000,2172,Right,3,4,4,High/ High,Normal (170-185),Left Central Midfielder,2021-07-01,2024,178cm,76kg,69300000,20.0,Adult
82,224293,Rúben Neves,25,Portugal,83,86,Wolverhampton Wanderers,47500000,105000,2171,Right,2,4,3,Low/ High,Normal (170-185),Right Central Midfielder,2017-07-08,2024,180cm,80kg,93800000,8.0,Adult
83,173030,Ó. Trejo,34,Argentina,79,79,Rayo Vallecano,8000000,25000,2171,Right,1,4,3,High/ Medium,Normal (170-185),Central Attacking Midfielder,2017-07-01,2023,180cm,79kg,16800000,8.0,Senior
84,211748,K. Demirbay,28,Germany,81,81,Bayer 04 Leverkusen,25500000,65000,2171,Left,2,4,4,High/ Medium,Normal (170-185),Left Defensive Midfielder,2019-07-01,2024,183cm,71kg,43400000,10.0,Adult
85,209889,R. Guerreiro,28,Portugal,82,82,Borussia Dortmund,27500000,57000,2171,Left,3,2,4,High/ Low,Normal (170-),Left Back,2016-07-01,2023,170cm,71kg,46800000,13.0,Adult
86,234396,A. Davies,21,Canada,84,89,FC Bayern München,60500000,59000,2170,Left,3,4,4,High/ Low,Unique,Left Back,2019-01-01,2025,185cm,77kg,104400000,19.0,Young
87,172522,D. Wass,33,Denmark,79,79,Atlético de Madrid,11000000,55000,2170,Right,2,3,3,Medium/ Medium,Normal (170-185),Substitute,2022-01-27,2023,181cm,74kg,22600000,24.0,Senior
88,240679,T. Koopmeiners,24,Netherlands,80,84,Atalanta,30000000,49000,2170,Left,2,2,3,Medium/ Medium,Normal (170-185),Left Central Midfielder,2021-08-30,2025,183cm,77kg,53300000,7.0,Adult
89,201519,J. Veretout,29,France,79,79,Olympique de Marseille,15000000,42000,2170,Right,2,3,3,Medium/ Medium,Normal (170-185),Substitute,2022-08-05,2025,177cm,67kg,28500000,27.0,Adult
90,195864,P. Pogba,29,France,85,85,Juventus,52500000,165000,2170,Right,4,4,5,Medium/ Low,Unique,Reserve,2022-07-11,2026,191cm,84kg,89300000,10.0,Adult
91,146536,Jesús Navas,36,Spain,83,83,Sevilla FC,8000000,28000,2169,Right,2,2,4,High/ Medium,Lean (170-),Right Back,2017-07-28,2024,172cm,60kg,16800000,16.0,Senior
92,210243,Ricardo Pereira,28,Portugal,83,83,Leicester City,33000000,105000,2168,Right,3,4,3,High/ High,Unique,Right Back,2018-06-09,2026,175cm,70kg,62700000,21.0,Adult
93,209499,Fabinho,28,Brazil,87,88,Liverpool,77000000,185000,2165,Right,3,2,3,Medium/ High,Unique,Central Defensive Midfielder,2018-07-01,2026,188cm,78kg,148200000,3.0,Adult
94,208421,Saúl,27,Spain,80,81,Atlético de Madrid,24000000,58000,2163,Left,3,4,3,Medium/ Medium,Lean (170-185),Substitute,2013-07-01,2026,184cm,75kg,51000000,17.0,Adult
95,231478,L. Martínez,24,Argentina,86,90,Inter,98500000,110000,2163,Right,3,4,4,High/ Medium,Unique,Left Striker,2018-07-05,2026,174cm,72kg,169900000,10.0,Adult
96,189513,Parejo,33,Spain,86,86,Villarreal CF,42000000,64000,2162,Right,2,4,3,Medium/ Medium,Normal (170-185),Left Central Midfielder,2020-08-12,2024,182cm,74kg,88200000,5.0,Senior
97,226226,G. Lo Celso,26,Argentina,81,83,Tottenham Hotspur,31500000,100000,2162,Left,1,3,4,High/ Medium,Normal (170-185),Reserve,2020-07-27,2025,177cm,68kg,62200000,18.0,Adult
98,201942,Roberto Firmino,30,Brazil,83,83,Liverpool,35500000,150000,2161,Right,3,4,5,High/ High,Unique,Substitute,2015-07-06,2023,181cm,76kg,65700000,9.0,Adult
99,201389,C. Biraghi,29,Italy,80,80,Fiorentina,18500000,58000,2159,Left,2,3,3,Medium/ Medium,Normal (185+),Left Back,2018-07-01,2024,185cm,78kg,31500000,3.0,Adult
100,20801,Cristiano Ronaldo,37,Portugal,90,90,Manchester United,41000000,220000,2159,Right,5,4,5,High/ Low,Unique,Striker,2021-08-27,2023,187cm,83kg,77900000,7.0,Senior
101,228618,F. Mendy,27,France,83,84,Real Madrid CF,38000000,170000,2158,Left,1,5,4,High/ High,Unique,Left Back,2019-07-01,2025,180cm,73kg,80800000,23.0,Adult
102,190871,Neymar Jr,30,Brazil,89,89,Paris Saint-Germain,99500000,200000,2157,Right,5,5,5,High/ Medium,Unique,Left Winger,2017-08-03,2025,175cm,68kg,184100000,10.0,Adult
103,173731,G. Bale,32,Wales,81,81,Los Angeles FC,20500000,14000,2157,Left,4,3,4,Medium/ Medium,Unique,Right Striker,2021-01-01,2023,185cm,82kg,30800000,11.0,Senior
104,212242,R. Andrich,27,Germany,81,82,Bayer 04 Leverkusen,26500000,57000,2156,Right,2,4,3,High/ High,Normal (185+),Right Defensive Midfielder,2021-08-16,2026,187cm,83kg,47000000,8.0,Adult
105,225375,K. Laimer,25,Austria,83,84,RB Leipzig,38500000,64000,2156,Right,2,3,3,Medium/ High,Lean (170-185),Left Defensive Midfielder,2021-01-01,2023,180cm,72kg,68300000,20.0,Adult
106,188350,M. Reus,33,Germany,85,85,Borussia Dortmund,33500000,78000,2154,Right,4,4,4,High/ Medium,Unique,Central Attacking Midfielder,2012-07-01,2023,180cm,71kg,57000000,11.0,Senior
107,206511,M. Arnold,28,Germany,80,81,VfL Wolfsburg,20500000,51000,2154,Left,2,2,3,High/ Medium,Normal (170-185),Right Defensive Midfielder,2011-10-10,2026,184cm,74kg,36400000,27.0,Adult
108,215914,N. Kanté,31,France,89,89,Chelsea,72000000,220000,2154,Right,4,3,2,Medium/ High,Unique,Right Central Midfielder,2016-07-16,2023,168cm,70kg,133200000,7.0,Senior
109,216267,A. Robertson,28,Scotland,87,87,Liverpool,72000000,185000,2154,Left,3,2,3,High/ High,Unique,Left Back,2017-07-21,2026,178cm,64kg,133200000,26.0,Adult
110,203551,A. Florenzi,31,Italy,79,79,AC Milan,12500000,60000,2154,Right,3,4,3,High/ Medium,Unique,Substitute,2022-07-01,2025,173cm,67kg,21300000,25.0,Senior
111,13743,17 S. Gerrard,36,England,81,81,LA Galaxy,1400000,10000,2154,Right,3,3,3,Medium/ Medium,Normal (170-185),Reserve,2015-07-08,2023,183cm,83kg,5376265,8.0,Senior
112,208418,Y. Carrasco,28,Belgium,85,85,Atlético de Madrid,54500000,90000,2153,Right,3,4,4,High/ High,Lean (185+),Left Midfielder,2020-09-08,2024,185cm,73kg,111700000,21.0,Adult
113,212523,Anderson Talisca,28,Brazil,82,82,Al Nassr,31000000,64000,2152,Left,2,4,4,High/ Low,Unique,Center Forward,2021-06-26,2024,190cm,80kg,52700000,94.0,Adult
114,208618,Lucas Vázquez,31,Spain,81,81,Real Madrid CF,18500000,140000,2152,Right,2,4,4,High/ Medium,Normal (170-185),Substitute,2015-07-02,2024,173cm,70kg,37900000,17.0,Senior
115,188152,Oscar,30,Brazil,81,81,Shanghai Port FC,25000000,28000,2152,Right,3,3,4,High/ Medium,Lean (170-185),Substitute,2017-01-01,2024,179cm,70kg,38800000,8.0,Adult
116,251573,Renan Lodi,24,Brazil,80,85,Atlético de Madrid,29500000,46000,2151,Left,1,3,4,High/ Medium,Lean (170-185),Substitute,2019-07-07,2025,173cm,68kg,62700000,12.0,Adult
117,195272,M. Faraoni,30,Italy,78,78,Hellas Verona,12000000,27000,2151,Right,1,4,3,High/ High,Normal (170-185),Right Midfielder,2019-07-01,2024,180cm,71kg,20400000,5.0,Adult
118,205686,T. Savanier,30,France,81,81,Montpellier Hérault SC,25000000,33000,2150,Right,2,5,4,High/ Medium,Normal (170-185),Central Attacking Midfielder,2019-07-02,2026,172cm,69kg,47500000,11.0,Adult
119,212207,N. Stanciu,29,Romania,79,79,Wuhan Three Towns,17000000,26000,2150,Right,2,4,4,Medium/ Medium,Normal (170-),Left Central Midfielder,2022-02-25,2027,170cm,63kg,26400000,43.0,Adult
120,207439,L. Paredes,28,Argentina,80,80,Paris Saint-Germain,18500000,79000,2150,Right,2,4,4,Medium/ Medium,Normal (170-185),Reserve,2019-01-29,2024,180cm,75kg,34200000,8.0,Adult
121,205569,J. Ward-Prowse,27,England,81,82,Southampton,29500000,69000,2149,Right,2,3,3,High/ High,Normal (170-185),Right Central Midfielder,2011-06-01,2026,173cm,66kg,58300000,8.0,Adult
122,215071,M. Casco,34,Argentina,77,77,River Plate,3900000,17000,2148,Right,1,5,3,High/ Low,Stocky (170-),Right Back,2015-09-09,2023,170cm,69kg,5500000,20.0,Senior
123,178518,R. Nainggolan,34,Belgium,76,76,Royal Antwerp FC,3500000,22000,2147,Right,3,3,3,Medium/ Low,Unique,Right Central Midfielder,2021-08-14,2023,177cm,89kg,5300000,4.0,Senior
124,165153,K. Benzema,34,France,91,91,Real Madrid CF,64000000,450000,2147,Right,4,4,4,Medium/ Medium,Normal (170-185),Center Forward,2009-07-09,2023,185cm,81kg,131200000,9.0,Senior
125,182521,T. Kroos,32,Germany,88,88,Real Madrid CF,72000000,310000,2147,Right,4,5,3,Medium/ Medium,Normal (170-185),Left Central Midfielder,2014-07-17,2023,183cm,76kg,147600000,8.0,Senior
126,121939,17 P. Lahm,32,Germany,88,88,FC Bayern München,29500000,200000,2146,Right,4,3,3,Medium/ High,Normal (170-),Right Back,2002-11-01,2023,170cm,66kg,5376265,21.0,Senior
127,178562,É. Banega,34,Argentina,81,81,Al Shabab,12000000,47000,2145,Right,3,4,4,Medium/ Medium,Normal (170-185),Right Central Midfielder,2020-08-22,2023,176cm,78kg,20400000,10.0,Senior
128,243576,Pedro Porro,22,Spain,81,87,Sporting CP,38500000,15000,2144,Right,1,3,3,High/ Medium,Normal (170-185),Right Wing Back,2022-05-17,2025,173cm,69kg,84700000,24.0,Young
129,236791,A. Barák,27,Czech Republic,81,82,Hellas Verona,30000000,41000,2144,Left,1,3,4,High/ Medium,Normal (185+),Right Forward,2021-07-06,2024,190cm,86kg,53300000,7.0,Adult
130,209989,T. Partey,29,Ghana,84,84,Arsenal,36000000,115000,2143,Right,2,3,3,Medium/ High,Lean (185+),Right Central Midfielder,2020-10-05,2024,185cm,77kg,68400000,5.0,Adult
131,241637,A. Tchouaméni,22,France,82,89,Real Madrid CF,61500000,145000,2142,Right,2,3,3,Medium/ High,Lean (185+),Substitute,2022-07-01,2023,187cm,81kg,138400000,18.0,Young
132,183898,Á. Di María,34,Argentina,84,84,Juventus,20000000,160000,2142,Left,4,2,5,High/ Medium,Unique,Right Winger,2022-07-08,2023,180cm,69kg,34000000,22.0,Senior
133,164169,19 Filipe Luís,32,Brazil,85,85,Atlético de Madrid,21500000,80000,2141,Left,3,3,3,High/ Medium,Lean (170-185),Left Back,2015-07-28,2023,182cm,74kg,44100000,3.0,Senior
134,207410,M. Kovačić,28,Croatia,84,84,Chelsea,42000000,155000,2141,Right,3,4,4,High/ High,Normal (170-185),Substitute,2019-07-01,2024,176cm,80kg,77700000,8.0,Adult
135,200104,H. Son,29,Korea Republic,89,89,Tottenham Hotspur,101000000,240000,2141,Right,4,5,4,High/ Medium,Unique,Left Winger,2015-08-28,2025,183cm,78kg,191900000,7.0,Adult
